model,rouge1,rouge2,rougeL,bleu,codebleu,syntax_correctness,avg_generation_time
T5-Base,0.06565358848600676,0.05171147391130588,0.061222232374112576,0.013294645166101406,0.013294645166101406,77.0,0.5885505199432373
SFT,0.4716094075200108,0.37064039061579157,0.45884801945665005,0.23816482617918472,0.23816482617918472,1.0,2.8803719806671144
LoRA,0.4760665249792683,0.3706018209607238,0.459154874575162,0.23829549707653275,0.23829549707653275,1.0,2.863177397251129
Adapter,0.4392823969194466,0.3458739634761099,0.42598658550057,0.2295336482707967,0.2295336482707967,2.0,3.39515074968338
